Title,Location,Latitude,Longitude
Asian Art at 100: A History in Photographs,Photographs,30.050118349999998,-89.93503170665198
"New Discoveries: Early Liturgical Textiles from Egypt, 200–400",Egypt,26.2540493,29.2675469
Korea,Korea,37.9528488,126.73311710879327
P.S. Art 2015,P.S.,50.4883454,5.79132857891232
China: Through the Looking Glass,China,35.0000663,104.999955
"Sultans of Deccan India, 1500–1700: Opulence and Fantasy",India,22.3511148,78.6677428
Bazm and Razm,Razm,13.870865,44.150267
El Greco in New York,New York,40.7127281,-74.0060152
Treasures from India,India,22.3511148,78.6677428
Kimono,Kimono,-12.08517759298879,27.68155742118734
Assyria to Iberia at the Dawn of the Classical Age,Assyria,42.464482,-85.1313852
Assyria to Iberia at the Dawn of the Classical Age,Iberia,39.8963997,-4.49743657062888
The Aesthetic Movement in America,America,39.7837304,-100.445882
Asian Art at 100: A History in Photographs,Photographs,30.050118349999998,-89.93503170665198
City of Memory: William Chappel's Views of Early 19th-Century New York,New York,40.7127281,-74.0060152
Velázquez Portraits: Truth in Painting,Painting,46.0530478,14.5168877
Max Beckmann in New York,New York,40.7127281,-74.0060152
The Arts of Nepal and Tibet: Recent Gifts,Nepal,28.3780464,83.9999901
The Arts of Nepal and Tibet: Recent Gifts,Tibet,31.669202499999997,87.47322500528882
Jerusalem 1000–1400: Every People Under Heaven,Jerusalem,31.7788242,35.2257626
P.S. Art 2016,P.S.,50.4883454,5.79132857891232
Divine Pleasures: Painting from India's Rajput Courts—The Kronos Collections,India,22.3511148,78.6677428
"New Discoveries: Early Liturgical Textiles from Egypt, 200–400",Egypt,26.2540493,29.2675469
Korea,Korea,37.9528488,126.73311710879327
The Face of Dynasty: Royal Crests from Western Cameroon,Western Cameroon,-34.013585850000005,18.70064635
"Range: Experiments in New York, 1961–2007",New York,40.7127281,-74.0060152
Company School Painting in India (ca. 1770–1850),India,22.3511148,78.6677428
The Aesthetic Movement in America,America,39.7837304,-100.445882
P.S. Art 2017: Celebrating the Creative Spirit of New York City Kids,P.S.,50.4883454,5.79132857891232
American Indian Art from the Fenimore Art Museum: The Thaw Collection,Indian Art,43.9967388,12.669189
Paradise of Exiles: Early Photography in Italy,Italy,42.6384261,12.674297
Asian Art at 100: A History in Photographs,Photographs,30.050118349999998,-89.93503170665198
City of Memory: William Chappel's Views of Early 19th-Century New York,New York,40.7127281,-74.0060152
Marsden Hartley's Maine,Maine,45.709097,-68.8590201
Velázquez Portraits: Truth in Painting,Painting,46.0530478,14.5168877
Max Beckmann in New York,New York,40.7127281,-74.0060152
The Arts of Nepal and Tibet: Recent Gifts,Nepal,28.3780464,83.9999901
