Year,Title,Duration,URL,Description
2015,Sol LeWitt:Wall Drawing #370,"June 30, 2014–January 28, 2018",https://www.metmuseum.org/exhibitions/listings/2014/sol-lewitt,"Sol LeWitt (American, 1928–2007) executed drawings by hand throughout his life; in 1968 he extricated his work from the confines of the frame and transferred it directly to the wall. The wall compositions were designed for limited duration and maximum flexibility within a broad range of architectural settings. Initially executed by drafters, these works in their finished state were most often slated for destruction. A seminal practitioner of Conceptual Art, LeWitt emphasized the creative idea that generates a work of art, as opposed to the work's material existence. ""For each work of art that becomes physical,"" he wrote, ""there are many variations that do not."" Sol LeWitt's 1982 Wall Drawing #370: Ten Geometric Figures (including right triangle, cross, X, diamond) with three-inch parallel bands of lines in two directions was installed at the Museum over a period of four weeks. The drawing will be on view in its complete state through January 28, 2018, when it will be painted over. The loan of Wall Drawing #370 is courtesy of The Estate of Sol LeWitt. The installation is made possible by The Modern Circle."
2015,Collecting the Arts of Mexico,"July 17, 2015–September 4, 2017",https://www.metmuseum.org/exhibitions/listings/2015/collecting-the-arts-of-mexico,"In 1911, Emily Johnston de Forest gave her collection of pottery from Mexico to The Met. Calling it ""Mexican maiolica,"" she highlighted its importance as a North American artistic achievement. De Forest was the daughter of the Museum's first president and, with her husband, Robert, a founder of The American Wing. The De Forests envisioned building a collection of Mexican art, and, even though their ambitions were frustrated at the time, the foundational gift of more than one hundred pieces of pottery anchors The Met's holdings. Today, more than a century later, their vision resonates as the Museum commits to collecting and exhibiting not just the arts of Mexico, but all of Latin America. This exhibition highlights the early contributions of the De Forests and others, and presents recent additions to the collection for the first time."
2015,Asian Art at 100: A History in Photographs,"September 5, 2015–August 6, 2017",https://www.metmuseum.org/exhibitions/listings/2015/asian-art-history-in-photographs,"Since The Metropolitan Museum of Art was founded in 1870, the institution's physical space and collection have grown and its curatorial departments have diversified. The first Asian works of art to enter the collection—mostly ceramics and lacquers—were acquired in 1879 and originally accommodated in what was then called the Department of Decorative Arts. Only in 1915 was a separate Department of Far Eastern Art established, and it was not until 1986 that its name was changed to the Department of Asian Art. The timeline presented in the photographs in this exhibition chronicles the changing face of The Met's galleries of Asian art as the building's footprint has expanded, exhibition styles have evolved, and the collection has grown. Forever a work in progress, The Met's collection of Asian art is ultimately the product of the passion and scholarship of the many collectors, curators, donors, dealers, and directors who have together shaped the Museum's holdings and legacy. #AsianArt100"
2015,Celebrating the Arts of Japan,"October 20, 2015–May 14, 2017",https://www.metmuseum.org/exhibitions/listings/2015/celebrating-the-arts-of-japan,"This tribute to a great collector reveals the distinctive features of Japanese art as viewed through the lens of 50 years of collecting: the sublime spirituality of Buddhist and Shinto art; the boldness of Zen ink painting; the imaginary world conjured up by the Tale of Genji and classical Japanese literature; the sumptuous colors of bird-and-flower painting; the subtlety of poetry, calligraphy, and literati themes; the aestheticized accoutrements of the tea ceremony; and the charming portraiture of courtesans from the ""floating world"" (ukiyo-e). #ArtsofJapan #AsianArt100 Featured Media The Three Perfections in Japanese Art: Poetry The Three Perfections in Japanese Art: Painting The Three Perfections in Japanese Art: Calligraphy The exhibition is made possible by the Mary Griggs Burke Fund, gift of the Mary Livingston Griggs and Mary Griggs Burke Foundation, 2015."
2015,Alex Katz at The Met,"October 9, 2015–November 6, 2016",https://www.metmuseum.org/exhibitions/listings/2015/alex-katz,"This exhibition, mounted in celebration of gifts both donated and promised to the Met, gathers works by Alex Katz (American, born 1927), one of our era's most acclaimed artists. Acquired through the generosity of Glenn Fuhrman, Leonard A. Lauder, and Katz himself, these works—eight in total, including two loans—span nearly the entire arc of Katz's career and include drawings, prints, and paintings. Among the works are two cutouts, the innovative artistic device that Katz pioneered in the late 1950s; a haunting cityscape; several portraits of Ada, Katz's wife and long-time muse; and portraits of luminaries from Katz's own social and artistic circles. Katz was born in Brooklyn in 1927 and came of age as an artist during the heyday of the New York School. In the late 1950s, he began to develop his mature style, one characterized by elegance, simplicity, and stylized abstraction. Committed to depicting recognizable motifs, Katz minimizes details and shading, choosing instead to summarize his subjects with the help of bold contours, blocks of color, and strategic swipes of the brush. As much as they represent a specific person or place, Katz's works also depict the act of seeing itself—that is, the peculiar mechanics of viewing, whether from afar or close up, whether on an empty street or across a crowded room. He captures the surprise and suspense, the desire and pleasure, that accompany the experience of spectatorship. #MetKatz"
2015,Phil Collins:how to make a refugee,"December 11, 2015–November 6, 2016",https://www.metmuseum.org/exhibitions/listings/2015/phil-collins,"Shot during the Kosovo War (1998Â­–99), how to make a refugee , by British artist Phil Collins (born 1970), addresses the depiction of war victims by journalists and documentarians. Here Collins brings a critical, self-conscious eye to the conventions governing the representation of suffering in the media. In this work, Collins captures the moments just before, during, and after a photo shoot organized by a team of journalists working in a camp in Macedonia. Their subject is a family of Kosovan-Albanian refugees. Over the course of the video, the artist grants very little specific insight into the family and the events that brought them to Macedonia, but provides a great deal of information about how carefully such photo shoots are orchestrated, always with an eye toward manipulating the emotional and political response of viewers. Collins is equally sensitive to the role that cameras play in mediating this relationship—one founded on equal parts suspicion and fascination, exploitation and advocacy—between those who do the depicting and those who are being depicted. Precisely how sitters and creators address one another through and across the camera lens is as much the topic of his video as the Kosovo War and the war refugees themselves. As Collins has said of how to make a refugee : ""A camera brings interested parties together. It attracts and repels according to circumstance or whim . . . You could say that [this work] is driven by an emotional relationship with the subjects, rather than the rational or sensational standards of journalism."""
2015,Masterpieces of Chinese Painting from The Met Collection,"October 31, 2015–October 11, 2016",https://www.metmuseum.org/exhibitions/listings/2015/masterpieces-of-chinese-painting,"Over the last 40 years, The Met's collection of Chinese painting and calligraphy has grown to be one of the greatest in the world. Replete with masterpieces dating from the Tang dynasty (608–917) to the present, the collection encompasses the vast historical sweep of the brush arts of China, from meticulous court painting to fiercely brushed dragons to lyrical paintings by scholars. This exhibition, presented in two rotations, highlights the gems of the permanent collection in a chronological display, with an emphasis on works from the Song (960–1279) and Yuan (1271–1368) dynasties. #ChinesePainting #AsianArt100 The exhibition is made possible by the Joseph Hotung Fund."
2015,Design for Eternity: Architectural Models from the Ancient Americas,"October 26, 2015–September 18, 2016",https://www.metmuseum.org/exhibitions/listings/2015/design-for-eternity,"From the first millennium B.C. until the arrival of Europeans in the 16th century, artists from the ancient Americas created small-scale architectural models to be placed in the tombs of important individuals. These works in stone, ceramic, wood, and metal range from highly abstracted, minimalist representations of temples and houses to elaborate architectural complexes populated with figures. Such miniature structures were critical components in funerary practice and beliefs about an afterlife, and they convey a rich sense of ancient ritual as well as the daily lives of the Aztecs, the Incas, and their predecessors. This exhibition, the first of its kind in the United States, sheds light on the role of these objects in mediating relationships between the living, the dead, and the divine. It also provides a rare look at ancient American architecture, much of which did not survive to the present day. Some 30 remarkable loans from museums in the United States and Peru join works from The Met's permanent collection, which is particularly rich in this material. #DesignforEternity Featured Media Friday Focus ""...a tantalizing exhibition..."" — Wall Street Journal The exhibition is made possible by Jill and Alan Rappaport in honor of Joanne Pearson. Additional support is provided by the Friends of the Department of the Arts of Africa, Oceania, and the Americas. The catalogue is made possible by the Mary C. and James W. Fosburgh Publications Fund and The MCS Endowment Fund."
2015,American Quilts and Folk Art,"July 17, 2015–September 6, 2016",https://www.metmuseum.org/exhibitions/listings/2015/american-quilts-and-folk-art,"This exhibition features seven quilts—all recent additions to the Museum's outstanding quilt collection, only one of which has been shown at the Museum before. The display also includes a selection of folk painting and furniture from The American Wing's collection, as well as two important paintings by Edward Hicks (American, 1780–1840), on loan from the Peter J. Solomon Family Collection. The exhibition is presented in two consecutive rotations, with the first on view through January 8, 2016, and the second on view through September 6, 2016."
2015,"New Discoveries: Early Liturgical Textiles from Egypt, 200–400","September 23, 2015–September 5, 2016",https://www.metmuseum.org/exhibitions/listings/2015/new-discoveries,Iconographic analysis and scientific testing have revealed new information about the meaning and use of two textiles in the Museum's collection. The first—woven in a loop pile meant to suggest a mosaic—has recently been recognized as a wall hanging for Christian liturgical use. The second—five recently acquired elements from a depiction of the Crossing of the Red Sea as described in the book of Exodus—can be understood as being from a wall hanging for Christian or possibly Jewish use. #LiturgicalTextiles
